game_id,white_rating,rolling_10_white
1004,1862,1787.6
1005,1699,1771.3
1006,1862,1771.3
1007,1862,1807.5
1008,1862,1807.5
1009,1567,1778.0
1010,1564,1764.0
1011,1862,1764.0
1012,1972,1791.1
1013,1960,1807.2
1014,2199,1840.9
1015,1955,1866.5
1016,1937,1874.0
1017,1951,1882.9
1018,1944,1891.1
1019,1553,1889.7
1020,1236,1856.9
1021,1500,1820.7
1022,1500,1773.5
1023,1500,1727.5
1024,1500,1657.6
1025,1500,1612.1
1026,1500,1568.4
1027,1452,1518.5
1028,1343,1458.4
1029,1803,1483.4
1030,1670,1526.8
1031,1500,1526.8
1032,1500,1526.8
1033,1500,1526.8
1034,1851,1561.9
1035,1712,1583.1
1036,1500,1583.1
1037,1705,1608.4
1038,1712,1645.3
1039,1712,1636.2
1040,1712,1640.4
1041,1712,1661.6
1042,1860,1697.6
1043,2108,1758.4
1044,1712,1744.5
1045,1712,1744.5
1046,1780,1772.5
1047,2180,1820.0
1048,1328,1781.6
1049,1896,1800.0
1050,1500,1778.8
1051,1582,1765.8
1052,1726,1752.4
1053,1577,1699.3
1054,1577,1685.8
1055,1693,1683.9
1056,1573,1663.2
1057,1597,1604.9
1058,1603,1632.4
1059,1586,1601.4
1060,1592,1610.6
1061,1602,1612.6
1062,1516,1591.6
1063,1475,1581.4
1064,1575,1581.2
1065,1585,1570.4
1066,2065,1619.6
1067,1976,1657.5
1068,1976,1694.8
1069,2035,1739.7
1070,1975,1778.0
1071,1463,1764.1
1072,1997,1812.2
1073,1950,1859.7
1074,2229,1925.1
1075,1819,1948.5
1076,2014,1943.4
1077,1807,1926.5
1078,2013,1930.2
1079,2008,1927.5
1080,2179,1947.9
1081,1777,1979.3
1082,1982,1977.8
1083,1749,1957.7
1084,1781,1912.9
1085,2040,1935.0
1086,1890,1922.6
1087,2131,1955.0
1088,2116,1965.3
1089,1687,1933.2
1090,1689,1884.2
1091,1651,1871.6
1092,1500,1823.4
1093,1786,1827.1
1094,1663,1815.3
1095,1779,1789.2
1096,1500,1750.2
1097,1654,1702.5
1098,1690,1659.9
1099,1818,1673.0
1100,1813,1685.4
1101,1775,1697.8
1102,1873,1735.1
1103,1868,1743.3
1104,1860,1763.0
1105,1748,1759.9
1106,1365,1746.4
1107,1861,1767.1
1108,1833,1781.4
1109,1821,1781.7
1110,2004,1800.8
1111,1895,1812.8
1112,1560,1781.5
1113,1901,1784.8
1114,1729,1771.7
1115,1613,1758.2
1116,1864,1808.1
1117,1905,1812.5
1118,1784,1807.6
1119,1893,1814.8
1120,1750,1789.4
1121,1882,1788.1
1122,1712,1803.3
1123,1878,1801.0
1124,1895,1817.6
1125,1672,1823.5
1126,1881,1825.2
1127,1972,1831.9
1128,1868,1840.3
1129,1819,1832.9
1130,1871,1845.0
1131,1828,1839.6
1132,1727,1841.1
1133,1891,1842.4
1134,1650,1817.9
1135,1968,1847.5
1136,1907,1850.1
1137,1903,1843.2
1138,1725,1828.9
1139,1894,1836.4
1140,1890,1838.3
1141,1522,1807.7
1142,1708,1805.8
1143,1744,1791.1
1144,1759,1802.0
1145,1750,1780.2
1146,1686,1758.1
1147,1840,1751.8
1148,1713,1750.6
1149,1791,1740.3
1150,1716,1722.9
1151,1804,1751.1
1152,1850,1765.3
1153,1804,1771.3
1154,1701,1765.5
1155,1005,1691.0
1156,1148,1637.2
1157,1142,1567.4
1158,1066,1502.7
1159,1625,1486.1
1160,1805,1495.0
1161,1500,1464.6
1162,1687,1448.3
1163,1678,1435.7
1164,2313,1496.9
1165,1855,1581.9
1166,2353,1702.4
1167,2291,1817.3
1168,2272,1937.9
1169,2344,2009.8
1170,2063,2035.6
1171,2109,2096.5
1172,2062,2134.0
1173,1996,2165.8
1174,1968,2131.3
1175,1756,2121.4
1176,1785,2064.6
1177,1432,1978.7
1178,1870,1938.5
1179,1859,1890.0
1180,2108,1894.5
1181,1299,1813.5
1182,1501,1757.4
1183,1513,1709.1
1184,1126,1624.9
1185,1286,1577.9
1186,1433,1542.7
1187,1406,1540.1
1188,1510,1504.1
1189,1534,1471.6
1190,1547,1415.5
1191,1602,1445.8
1192,1444,1440.1
1193,1627,1451.5
1194,1267,1465.6
1195,1604,1497.4
1196,1453,1499.4
1197,1740,1532.8
1198,1552,1537.0
1199,1810,1564.6
1200,1436,1553.5
1201,1638,1557.1
1202,2053,1618.0
1203,2021,1657.4
1204,1930,1723.7
1205,2000,1763.3
1206,1885,1806.5
1207,1776,1810.1
1208,1845,1839.4
1209,1707,1829.1
1210,1500,1835.5
1211,1185,1790.2
1212,1230,1707.9
1213,1262,1632.0
1214,1250,1564.0
1215,1133,1477.3
1216,1257,1414.5
1217,1279,1364.8
1218,1315,1311.8
1219,1277,1268.8
1220,1332,1252.0
1221,1291,1262.6
1222,1194,1259.0
1223,1136,1246.4
1224,1291,1250.5
1225,1286,1265.8
1226,1278,1267.9
1227,1175,1257.5
1228,1173,1243.3
1229,1329,1248.5
1230,1282,1243.5
1231,1235,1237.9
1232,1284,1246.9
1233,1279,1261.2
